"","CVDSBA_XG1","CVDSBA_XG2","CVDSBA_XG3","CVDSBA_XG27","CVDSBA_XG26","CVDSBA_JBDZ1","CVDSBA_JBDZ3","CVDSBA_JBDZ2","CVDSBA_HC2","CVDSBA_HC1","CVDSBA_HC3","CVDSBA_XG4","CVDSBA_XG5","CVDSBA_XG6","CVDSBA_XG29","CVDSBA_JBDZ4","CVDSBA_XG31","CVDSBA_JBDZ6","CVDSBA_JBDZ5","CVDSBA_HC5","CVDSBA_HC4","CVDSBA_HC6","CVDSBA_XG7","CVDSBA_XG8","CVDSBA_XG9","CVDSBA_XG34","CVDSBA_XG33","CVDSBA_JBDZ7","CVDSBA_XG35","CVDSBA_JBDZ9","CVDSBA_JBDZ8","CVDSBA_HC26","CVDSBA_HC7","CVDSBA_HC9","CVDSBA_XG10","CVDSBA_XG11","CVDSBA_XG13","CVDSBA_XG37","CVDSBA_XG36","CVDSBA_JBDZ10","CVDSBA_JBDZ12","CVDSBA_JBDZ11","CVDSBA_HC12","CVDSBA_HC10","CVDSBA_HC13","CVDSBA_XG14","CVDSBA_XG15","CVDSBA_XG16","CVDSBA_XG39","CVDSBA_XG38","CVDSBA_JBDZ13","CVDSBA_JBDZ15","CVDSBA_JBDZ14","CVDSBA_HC27","CVDSBA_HC17","CVDSBA_XG17","CVDSBA_XG18","CVDSBA_XG19","CVDSBA_XG42","CVDSBA_XG40","CVDSBA_JBDZ16","CVDSBA_JBDZ18","CVDSBA_JBDZ17","CVDSBA_HC20","CVDSBA_HC19","CVDSBA_HC28","CVDSBA_XG20","CVDSBA_XG21","CVDSBA_XG22","CVDSBA_XG44","CVDSBA_XG43","CVDSBA_JBDZ19","CVDSBA_JBDZ21","CVDSBA_JBDZ20","CVDSBA_HC23","CVDSBA_HC22","CVDSBA_XG23","CVDSBA_XG24","CVDSBA_XG25","CVDSBA_XG46","CVDSBA_XG45","CVDSBA_JBDZ22","CVDSBA_JBDZ25","CVDSBA_JBDZ24","CVDSBA_HC25","CVDSBA_HC24"
"P04114",1.535,1.444,1.245,0.819,1.136,1.421,1.427,1.53,0.75,0.853,0.822,1.502,1.163,0.514,0.779,1.88,1.737,0.995,1.114,1.191,1.175,1.078,1.206,1.255,1.066,1.044,1.305,0.935,1.657,0.718,0.809,0.693,0.947,0.931,1.062,0.709,1.231,1.323,1.624,0.964,0.842,0.888,1.057,0.847,1.447,0.756,1.069,0.863,1.17,0.981,0.957,1.012,1.035,0.908,0.772,1.145,0.972,1.261,0.791,1.029,1.136,1.066,1.295,0.621,0.584,1.024,1.13,1.28,1.081,1.07,0.916,1.181,1.093,1.058,0.811,0.801,1.068,0.814,1.418,1.022,1.262,1.012,0.801,1.2,0.695,0.682
"P01024",1.243,1.067,1.166,1.056,1.079,1.172,0.879,0.82,0.782,1.057,0.994,1.068,0.943,0.728,0.957,0.854,1.202,0.633,0.811,0.864,0.917,0.79,1.016,1.014,0.824,1.1,0.986,1.167,1.114,1,0.902,0.823,1.152,0.816,1.056,1.073,0.993,1.21,1.289,0.913,0.977,1.044,0.92,0.906,1.317,0.85,0.904,1.064,1.104,1.111,0.83,1.198,0.993,0.889,0.785,1.118,1.084,0.998,1.007,1.159,1.125,0.903,1.113,0.849,0.856,1.022,1.001,1.371,1.394,1.125,1.164,1.045,1.108,0.958,0.798,0.956,1.105,0.872,1.213,1.075,1.129,0.59,0.989,1.259,0.808,0.82
"P02768",0.904,1.03,0.94,0.933,0.925,0.995,0.771,0.784,1.183,1.101,1.045,1.047,1.057,0.954,0.917,0.87,0.886,0.873,0.933,1.086,1.041,1.187,0.995,1.117,1.041,0.786,0.706,0.805,0.947,1.05,1.106,1.234,1.079,1.011,1.049,1.055,1.029,0.831,0.717,0.963,1.033,0.62,1.099,1.144,0.799,1.034,1.049,1.041,0.795,0.776,1.023,0.841,1.065,1.2,1.171,1.078,1.023,0.907,0.938,0.903,1.027,1.133,0.91,1.206,1.053,1.113,1.042,0.813,0.856,0.928,0.804,1.044,0.935,0.93,1.144,1.068,0.995,0.963,0.943,0.877,0.948,0.663,0.991,1.06,1.138,1.108
"P01023",0.742,0.897,0.799,0.928,0.746,1.223,1.295,2.05,1.066,1.278,0.959,0.963,0.774,1.001,1.101,1.71,0.975,1.5,0.857,0.811,0.789,0.931,0.781,0.908,1.235,0.817,0.728,0.964,0.861,1.536,2.123,0.971,0.769,1.011,1.085,0.877,1.016,0.798,0.751,1.231,0.705,1.226,0.866,0.806,1.188,1.039,0.834,1.122,0.917,0.809,1.379,0.934,1.056,0.737,1.085,0.667,1.325,1.034,0.78,1.195,0.854,0.829,1.785,1.239,0.943,0.75,0.837,0.941,1.454,1.035,0.802,0.804,0.78,1.05,0.879,0.919,0.848,0.976,0.608,0.929,1.202,0.893,1.237,0.707,1.282,1.102
"P02751",1.687,1.457,0.805,0.649,0.618,0.949,0.759,0.673,1.085,0.947,0.993,0.923,1.287,0.864,0.913,1.208,0.716,0.663,1.16,1.343,1.13,0.778,1.502,1.21,0.898,0.566,0.854,0.682,1.109,0.81,0.801,0.731,1.084,1.107,0.693,1.065,1.8,0.63,0.85,0.95,1.294,0.451,0.909,1.226,0.988,0.959,0.918,0.667,0.661,0.848,0.915,0.468,0.97,1.254,1.227,1.119,0.97,0.536,0.829,0.76,1.142,1.127,0.534,0.874,0.901,0.881,1.107,0.967,0.872,0.705,0.712,1.264,0.843,1.069,1.276,1.243,1.102,0.853,0.705,0.802,0.996,0.741,0.731,1.314,0.865,0.956
"P0C0L5",0.923,0.828,2.302,1.101,1.422,1.327,1.198,0.768,0.852,0.815,0.811,1.131,0.932,0.546,1.215,0.79,1.263,0.849,1.106,1.025,0.992,0.779,1.091,1.078,1.114,1.337,1.039,0.897,1.242,1.153,0.892,0.835,0.738,0.899,1.318,0.724,1.011,0.707,0.91,1.25,0.929,0.868,0.889,1.508,1.336,0.903,0.467,1.216,1.037,0.936,0.776,1.126,1.007,0.707,0.632,1.138,0.339,1.044,1.046,1.196,1.064,0.924,1.387,0.644,0.682,0.915,1.183,0.983,1.357,1.236,1.728,0.888,1.109,0.666,0.845,1.166,1.167,0.738,1.824,1.229,1.532,0.772,1.143,1.286,0.494,0.918
"P0C0L4",1.28,0.874,1.867,0.997,1.52,1.385,0.946,0.736,0.804,1.014,1.057,1.156,0.751,0.738,2.153,0.749,1.513,0.64,0.868,1.12,1.193,0.551,1.025,1.016,1.018,1.291,0.878,0.849,1.419,1.165,0.9,0.713,0.724,0.691,1.025,0.933,0.986,0.894,1.045,1.079,1.061,0.888,0.739,1.096,1.267,0.871,0.734,1.244,1.088,1.069,0.743,1.177,0.94,0.864,0.772,1.192,0.717,0.969,1.185,1.207,0.956,0.852,1.605,0.893,0.789,0.97,1.259,0.861,1.618,1.304,1.655,1.143,1.055,0.664,1.007,0.789,1.467,1.023,1.631,1.021,1.349,0.493,1.045,1.257,0.59,0.764
"P02787",0.945,0.901,0.838,0.867,0.76,1.096,0.586,0.756,0.975,1.147,1.132,0.87,0.821,1.211,1.031,0.9,0.909,0.793,0.954,0.965,1.095,1.318,0.998,1.039,0.951,0.703,0.675,0.806,0.833,1.105,1.153,1.009,1.072,1.02,0.957,1.163,0.899,0.791,0.707,1.135,1.009,0.601,1.128,1.137,1.451,1.051,1.043,0.982,0.625,0.874,1.092,0.902,1.23,1.283,1.097,0.887,1.164,0.981,0.975,1.014,1.015,1.178,0.784,1.363,1.309,1.276,1.077,0.863,0.765,0.872,0.76,1.109,0.72,1.464,1.407,1.295,0.933,0.972,0.755,0.924,0.891,0.705,1.043,1.085,1.325,1.203
"P00450",1.08,1.018,1.219,1.016,1.1,0.981,1.287,1.104,0.604,0.922,1.109,0.697,0.846,0.882,1.106,0.985,1.15,0.779,1.198,0.942,0.838,0.826,0.848,1.015,0.936,1.087,1.015,1.529,0.953,0.983,1.149,0.821,0.899,0.914,1.048,0.941,0.888,1.172,1.248,0.883,0.834,1.337,0.742,0.836,1.503,1.022,0.972,0.959,1.284,1.205,1.155,1.224,0.958,0.656,0.828,0.94,0.983,1.108,1.032,1.045,0.885,0.856,1.296,0.826,0.959,0.845,0.984,1.23,0.941,1.005,1.212,0.903,0.905,1.056,0.814,0.953,0.997,0.912,1.316,1.242,1.177,1.513,1.138,0.991,0.864,0.953
"P08603",1.096,1.198,1.032,1.057,0.951,1.074,1.156,0.966,0.821,1.081,1.115,1.039,1.038,0.827,0.988,1.06,1.103,0.756,0.847,0.989,1.033,0.884,1.083,1.021,0.858,1.018,0.938,1.168,0.959,0.919,0.795,0.817,1.118,0.931,1.142,0.947,1,0.999,1.147,0.988,1.079,1.101,1.149,1.027,1.091,0.658,0.927,1.037,1.191,1.068,0.841,1.024,1.033,1.008,0.849,1.173,1.04,0.946,0.98,0.998,1.111,0.944,1.025,0.892,0.932,1.06,1.072,1.199,1.33,1.1,1.174,1.022,1.15,0.832,0.892,1.044,1.119,1.007,1.216,1.095,1.086,0.688,1.057,1.133,0.813,0.786
